Player,School,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,round,overall,year
Geneo Grissom,Oklahoma,OLB,75,262,4.81,37,20,117,7.24,4.38,1,97,2015
George Atkinson,Notre Dame,RB,73,218,4.48,38,19,121,7.07,4.46,0,,
George Iloka,Boise State,S,76,225,4.6,34.5,20,124,7.03,4.03,1,167,2012
Gerald Everett,South Alabama,TE,75,239,4.62,37.5,22,126,6.99,4.33,1,44,2017
Geremy Davis,Connecticut,WR,74,216,4.49,36.5,23,124,6.86,4.18,1,186,2015
Gerri Green,Mississippi State,EDGE,76,252,4.63,35,24,114,7.27,4.42,1,199,2019
Gerrid Doaks,Cincinnati,RB,71,228,4.58,39.5,19,120,7.2,4.27,0,,
Giorgio Newberry,Florida State,DE,77,285,4.94,30,20,114,7.53,4.78,0,,
Giovani Bernard,North Carolina,RB,68,202,4.53,33.5,19,122,6.91,4.12,1,37,2013
Glenn Gronkowski,Kansas State,FB,74,239,4.71,33,17,120,7.1,4.45,0,,
Godwin Igwebuike,Northwestern,S,73,205,4.44,35.5,19,128,6.56,4.12,0,,
Grady Jarrett,Clemson,DT,73,304,5.06,31,30,112,7.37,4.56,1,137,2015
Graham Glasgow,Michigan,C,78,307,5.13,25,23,106,7.63,4.63,1,95,2016
Grant Haley,Penn State,CB,69,190,4.44,34,15,119,6.51,3.94,0,,
Grayland Arnold,Baylor,CB,69,186,4.59,33,12,120,7.01,4.3,0,,
Greg Newsome,Northwestern,CB,73,192,4.39,40,18,123,6.9,4.26,1,26,2021
Greg Robinson,Auburn,OT,77,332,4.92,28.5,32,113,7.8,4.86,1,2,2014
Greg Senat,Wagner,OT,78,302,5.38,26,19,106,7.41,4.71,1,212,2018
Gunnar Vogel,Northwestern,OL,78,306,5.47,26,23,105,7.67,4.92,0,,
Gus Johnson,Stephen F. Austin,RB,70,215,4.7,36.5,26,120,7.09,4.13,0,,
Ha Ha Clinton-Dix,Alabama,S,73,208,4.58,33,11,119,7.16,4.16,1,21,2014
Haason Reddick,Temple,OLB,73,237,4.52,36.5,24,133,7.01,4.37,1,13,2017
Halapoulivaati Vaitai,TCU,OT,78,320,5.26,29,23,113,8.26,5,1,164,2016
Hamilcar Rashed,Oregon St.,OLB,74,251,4.58,35.5,25,128,7.51,4.44,0,,
Hamp Cheevers,Boston Col.,CB,69,169,4.52,39,8,122,6.96,4.25,0,,
Harlan Miller,SE Louisiana,CB,73,182,4.65,35.5,6,118,7.44,4.43,1,205,2016
Harold Landry,Boston Col.,EDGE,75,252,4.64,36,24,119,6.88,4.19,1,41,2018
Harrison Bryant,Florida Atlantic,TE,77,243,4.73,32.5,13,110,7.41,4.37,1,115,2020
Harrison Hand,Temple,CB,71,197,4.52,41,14,133,7.15,4.27,1,169,2020
Harrison Phillips,Stanford,DT,76,307,5.21,32,42,103,7.28,4.5,1,96,2018
Harrison Smith,Notre Dame,S,74,213,4.54,34,19,122,6.63,4.12,1,29,2012
Harry Crider,Indiana,OL,74,307,5.25,27,31,102,7.63,4.68,0,,
Hassan Ridgeway,Texas,DT,75,303,5.02,32,24,113,8.28,4.82,1,116,2016
Hayden Plinke,Texas-El Paso,TE,76,264,4.97,28,18,109,7.55,4.59,0,,
Hayes Pullard,USC,ILB,73,240,4.78,31,19,110,7.07,4.39,1,219,2015
Henre Toliver,Arkansas,CB,73,185,4.63,32.5,6,117,7.01,4.15,0,,
Henry Josey,Missouri,RB,68,194,4.43,34.5,20,118,7.07,4.13,0,,
Hercules Mata'afa,Washington State,EDGE,73,254,4.76,31.5,26,108,7.24,4.37,0,,
Hjalte Froholdt,Arkansas,OL,77,306,5.2,27.5,31,105,7.51,4.54,1,118,2019
Holton Hill,Texas,CB,75,200,4.49,31,14,120,6.83,4.15,0,,
Howard Jones,Shepherd,OLB,74,235,4.6,40.5,21,124,7.16,4.41,0,,
Hunter Bryant,Washington,TE,74,248,4.74,32.5,23,115,7.08,4.46,0,,
Hunter Kampmoyer,Oregon,TE,76,243,4.83,31,21,113,7.28,4.54,0,,
Hunter Renfrow,Clemson,WR,70,184,4.59,35,7,116,6.8,4.19,1,149,2019
Hunter Sharp,Utah State,WR,71,198,4.58,32.5,12,116,7.12,4.19,0,,
I.K. Enemkpali,Louisiana Tech,DE,73,261,4.86,34,28,112,7.67,4.65,1,210,2014
Ifeadi Odenigbo,Northwestern,DE,75,258,4.72,31.5,25,128,7.26,4.4,1,220,2017
Ifeatu Melifonwu,Syracuse,CB,74,205,4.48,41.5,16,134,7.01,4.34,1,101,2021
Iosua Opeta,Weber State,OL,76,301,5.02,33,39,112,8.06,4.94,0,,
Irv Smith,Alabama,TE,74,242,4.63,32.5,19,110,7.32,4.33,1,50,2019
Isaac Asiata,Utah,OG,75,323,5.34,25.5,35,102,7.83,4.93,1,164,2017
Isaiah Buggs,Alabama,DL,75,306,5.15,24.5,20,96,8.01,4.83,1,192,2019
Isaiah Burse,Fresno State,WR,70,188,4.58,31,16,115,6.74,3.94,0,,
Isaiah Dunn,Oregon St.,CB,71,189,4.39,35.5,13,127,6.93,4.21,0,,
Isaiah Ford,Virginia Tech,WR,73,194,4.61,35.5,14,127,6.94,4.34,1,237,2017
Isaiah Hodgins,Oregon State,WR,76,210,4.61,36.5,9,124,7.01,4.12,1,207,2020
Isaiah Lewis,Michigan State,S,70,211,4.6,36.5,15,122,7.05,4.47,0,,
Isaiah McKenzie,Georgia,WR,67,173,4.42,36,11,123,6.64,4.15,1,172,2017
Isaiah McKoy,Kent St.,WR,74,200,4.68,29.5,12,114,7.09,4.36,0,,
Isaiah Prince,Ohio State,OT,78,305,5.09,27,23,115,7.9,5.02,1,202,2019
Isaiah Wilson,Georgia,OL,78,350,5.32,29,26,110,8.26,5.07,1,29,2020
Isaiahh Loudermilk,Wisconsin,DE,78,274,5.08,28.5,21,112,7.52,4.55,1,156,2021
Israel Tucker,Louisiana Tech,RB,67,194,4.6,38.5,20,123,7.25,4.52,0,,
J.C. Chalk,Clemson,TE,74,250,5.18,28.5,15,106,7.83,4.72,0,,
J.C. Copeland,LSU,FB,71,271,4.95,28.5,23,111,7.68,4.58,0,,
J.C. Tretter,Cornell,OG,76,307,5.09,29.5,29,109,7.48,4.69,1,122,2013
J.J. Taylor,Arizona,RB,65,185,4.61,34.5,19,118,7,4.15,0,,
J.J. Wilcox,Georgia Southern,S,73,213,4.57,35,17,124,7.02,4.09,1,80,2013
J.R. Sweezy,North Carolina State,DT,77,298,4.97,36,21,113,7.4,4.41,1,225,2012
J.T. Surratt,South Carolina,DT,73,304,5.19,30,29,106,7.78,4.71,0,,
Jace Amaro,Texas Tech,TE,77,265,4.74,33,28,118,7.42,4.3,1,49,2014
Jace Sternberger,Texas A&M,TE,76,251,4.75,31.5,17,113,7.19,4.31,1,75,2019
Jack Allen,Michigan State,C,73,294,5.29,26.5,23,101,7.9,4.73,0,,
Jack Anderson,Texas Tech,OL,76,314,5.28,29.5,27,105,7.9,4.83,1,236,2021
Jack Conklin,Michigan State,OT,78,308,5,30,25,103,7.63,4.57,1,8,2016
Jack Mewhort,Ohio State,OT,78,309,5.37,26,28,101,7.79,4.64,1,59,2014
Jack Stoll,Nebraska,TE,75,247,4.6,31.5,16,119,6.86,4.32,0,,
Jackson Barton,Utah,OT,79,310,5.18,27,25,109,7.85,4.66,1,240,2019
Jackson Jeffcoat,Texas,DE,75,247,4.63,36,18,123,6.97,4.18,0,,
Jacob Harris,Central Florida,WR,77,219,4.39,40.5,15,133,6.54,4.31,0,,
Jacob Shoemaker,South Alabama,OL,75,319,5.49,24,20,93,8.2,5.02,0,,
Jacquies Smith,Missouri,DE,75,253,4.75,31.5,21,110,7.25,4.31,0,,
Jadar Johnson,Clemson,S,73,206,4.6,33,19,119,6.9,4.2,0,,
Jadeveon Clowney,South Carolina,DE,77,266,4.53,37.5,21,124,7.27,4.43,1,1,2014
Jahwan Edwards,Ball State,RB,69,220,4.8,35.5,16,117,7.63,4.5,0,,
Jaire Alexander,Louisville,CB,71,192,4.38,35,14,127,6.71,3.98,1,18,2018
Jake Brendel,UCLA,C,75,303,5.01,28,25,108,7.31,4.27,0,,
Jake Burton,Baylor,OL,77,303,5.49,26,22,100,8.22,4.97,0,,
Jake Curhan,California,OL,77,316,5.45,24,15,102,8.07,4.84,0,,
Jake Funk,Maryland,RB,70,204,4.49,38,22,122,6.71,4.12,1,233,2021
Jake Hausmann,Ohio St.,TE,76,242,4.98,29.5,16,112,7.65,4.44,0,,
Jake Matthews,Texas A&M,OT,77,308,5.07,30.5,24,105,7.34,4.47,1,6,2014
Jake Murphy,Utah,TE,76,249,4.79,33,24,114,7.18,4.27,0,,
Jake Ryan,Michigan,OLB,74,240,4.65,34.5,20,120,7.11,4.2,1,129,2015
Jake Stoneburner,Ohio State,TE,75,252,4.65,34.5,18,116,7.12,4.27,0,,
Jake Wieneke,South Dakota State,WR,76,221,4.67,34,9,114,7.24,4.37,0,,
Jakobi Meyers,North Carolina State,WR,74,203,4.63,37,13,118,7.07,4.23,0,,
Jaleel Johnson,Iowa,DT,75,316,5.38,28,19,100,7.64,4.62,1,109,2017
Jaleel Scott,New Mexico State,WR,77,218,4.56,34.5,16,124,7.2,4.4,1,132,2018
Jalen Camp,Georgia Tech,WR,73,226,4.48,39.5,29,125,7,4.14,0,,
Jalen Elliott,Notre Dame,S,73,205,4.8,34,15,125,6.87,4.3,0,,
Jalen Jelks,Oregon,EDGE,77,256,4.92,32.5,19,113,7.22,4.59,1,241,2019
Jalen Mills,LSU,S,73,191,4.61,37,16,123,6.86,4,1,233,2016
Jalen Myrick,Minnesota,CB,70,200,4.28,37.5,13,124,7.06,4.22,1,222,2017
Jalen Ramsey,Florida State,CB,73,209,4.41,41.5,14,135,6.94,4.18,1,5,2016
Jalen Reagor,TCU,WR,71,206,4.47,42,17,138,7.31,4.46,1,21,2020
Jalen Robinette,Air Force,WR,75,220,4.62,31.5,13,120,6.77,4.46,0,,
Jalin Marshall,Ohio State,WR,70,200,4.6,37.5,16,125,6.8,4.13,0,,
Jalston Fowler,Alabama,FB,71,254,4.94,33.5,23,114,7.56,4.4,1,108,2015
Jamaal Johnson-Webb,Alabama A&M,OG,77,313,5.37,23,17,92,8.12,4.74,0,,
Jamal Adams,LSU,S,73,214,4.56,31.5,18,120,6.96,4.13,1,6,2017
Jamal Davis,Akron,EDGE,75,243,4.6,39,19,122,7,4.44,0,,
Jamal Jones,Arkansas St.,RB,66,198,4.67,28,23,112,7.39,4.65,0,,
Jamar Johnson,Indiana,CB,74,205,4.58,35,17,122,7.22,4.41,1,164,2021
Jamar Taylor,Boise State,CB,71,192,4.39,35,22,127,6.82,4.06,1,54,2013
Jamel Dean,Auburn,CB,73,206,4.3,41,16,130,7.02,4.19,1,94,2019
Jamell Fleming,Oklahoma,CB,71,206,4.43,34,23,125,6.71,3.97,1,80,2012
James Bradberry,Samford,CB,73,211,4.5,36,16,124,6.91,4.21,1,62,2016
James Brown,Troy,OG,75,306,5.19,25.5,24,102,7.7,4.78,0,,
James Cowser,Southern Utah,DE,75,248,4.82,31.5,21,111,6.8,4.31,0,,
James Gayle,Virginia Tech,DE,76,259,4.7,37,26,122,7.19,4.27,0,,
James Hanna,Oklahoma,TE,76,252,4.43,36,24,122,6.76,4.11,1,186,2012
James Hudson,Cincinnati,OL,76,313,5.27,28.5,22,98,8.05,4.79,1,110,2021
James Looney,California,DE,75,287,4.89,35.5,28,113,7.32,4.37,1,232,2018
James Lynch,Baylor,DL,76,289,5.01,29,23,111,7.39,4.39,1,130,2020
James Morris,Iowa,ILB,73,241,4.8,34.5,18,117,6.94,4.36,0,,
James Quick,Louisville,WR,73,186,4.6,31,11,115,7,4.39,0,,
James Robinson,Illinois State,RB,69,219,4.64,40,24,125,7.03,4.19,0,,
James Smith-Williams,North Carolina State,DL,76,265,4.6,32,28,123,7.35,4.52,1,229,2020
James Stone,Tennessee,C,76,306,5.17,27.5,22,105,8.16,4.63,0,,
James Washington,Oklahoma State,WR,71,213,4.54,34.5,14,120,7.11,4.32,1,60,2018
James White,Wisconsin,RB,69,204,4.57,32,23,114,7.05,4.2,1,130,2014
"James Wilder, Jr.",Florida State,RB,75,232,4.65,35,18,121,6.92,4.24,0,,
James-Michael Johnson,Nevada,ILB,73,241,4.6,37,23,124,7.34,4.37,1,120,2012
Jamie Blatnick,Oklahoma State,DE,75,263,4.81,32.5,28,112,7.22,4.2,0,,
Jamie Collins,Southern Miss,OLB,75,250,4.64,41.5,19,139,7.1,4.32,1,52,2013
Jamien Sherwood,Auburn,CB,73,216,4.76,36,15,123,7.15,4.36,1,146,2021
Jamil Demby,Maine,OG,76,319,5.58,23.5,17,98,7.86,4.95,1,192,2018
Jamil Douglas,Arizona State,OG,76,304,5.25,29,28,99,7.99,4.75,1,114,2015
Jamison Crowder,Duke,WR,68,185,4.56,37,10,115,7.17,4.32,1,105,2015
Janzen Jackson,McNeese State,S,71,188,4.6,36.5,9,125,6.9,4.15,0,,
Jared Abbrederis,Wisconsin,WR,73,195,4.5,30.5,4,117,6.8,4.08,1,176,2014
Jared Smith,New Hampshire,DT,75,302,5.08,32.5,28,115,7.2,4.39,1,241,2013
Jarell White,Cincinnati,LB,68,202,4.58,35,22,125,7.21,4.35,0,,
Jaret Patterson,Buffalo,RB,66,195,4.59,30,19,117,7.03,4.35,0,,
Jarius Wright,Arkansas,WR,70,182,4.39,38,11,120,6.93,4.03,1,118,2012
Jarrett Boykin,Virginia Tech,WR,74,217,4.62,36,11,123,7.12,4.28,0,,
Jarvion Franklin,West. Michigan,RB,71,239,4.63,30,18,109,6.93,4.31,0,,
Jarvis Harrison,Texas A&M,OG,76,330,5.19,29.5,26,102,7.51,4.62,1,152,2015
Jaryd Jones-Smith,Pittsburgh,OT,78,317,5.22,27,16,109,8.1,4.94,0,,
Jason Fanaika,Utah,DE,74,271,4.92,35.5,23,113,7.06,4.39,0,,
Jason Pinnock,Pittsburgh,CB,73,204,4.49,39.5,15,128,6.9,4.1,0,,
Jason Spriggs,Indiana,OT,78,301,4.94,31.5,31,115,7.7,4.44,1,48,2016
Jason Strowbridge,North Carolina,DL,76,275,4.89,31,26,113,7.45,4.37,1,154,2020
Jason Weaver,Southern Miss,OT,76,313,5.44,21,23,94,8.23,5.07,0,,
Javon Hargrave,South Carolina State,DT,73,309,4.93,34.5,29,109,7.9,4.7,1,89,2016
Javon Patterson,Mississippi,OL,75,307,5.13,27.5,27,98,7.72,4.78,1,246,2019
Javonte Williams,North Carolina,RB,69,212,4.55,36,22,123,6.97,4.09,1,35,2021
Javorius Allen,USC,RB,73,221,4.53,35.5,11,121,6.96,4.28,1,125,2015
Jawanza Starling,USC,S,73,202,4.64,36,17,122,6.68,4.34,0,,
Ja'Wuan James,Tennessee,OT,78,311,5.26,29,22,103,7.42,4.56,1,19,2014
Jay Ajayi,Boise State,RB,73,221,4.57,39,19,121,7.1,4.1,1,149,2015
Jay Bromley,Syracuse,DT,75,306,5.06,33.5,26,106,7.92,4.78,1,74,2014
Jay Tufele,USC,DL,74,305,5,30,30,105,7.8,4.88,1,106,2021
Jaye Howard,Florida,DT,75,301,4.78,27.5,24,106,7.32,4.47,1,114,2012
Jaylen Harris,Ohio St.,WR,68,170,4.77,30.5,8,109,7.37,4.5,0,,
Jaylen Samuels,North Carolina State,TE,71,225,4.54,34.5,18,121,6.93,4.28,1,165,2018
Jaylen Smith,Louisville,WR,74,219,4.47,34.5,14,122,7.55,4.48,0,,
Jaylon Johnson,Utah,CB,73,193,4.5,36.5,15,124,7.01,4.13,1,50,2020
Jaylon McClain-Sapp,Marshall,CB,69,183,4.49,41,14,125,7.21,4.46,0,,
Jaylon Moore,West. Michigan,OT,76,311,5.25,30,27,106,7.77,4.67,0,,
Jayson Oweh,Penn St.,DE,77,257,4.36,39.5,21,134,6.83,4.21,1,31,2021
Jaytlin Askew,Georgia Tech,CB,68,180,4.51,35.5,18,125,7.1,4.31,0,,
Jazz Ferguson,Northwestern St. (LA),WR,77,227,4.45,37,8,123,7.25,4.59,0,,
Jeff Allen,Illinois,OT,76,307,5.17,27.5,26,102,8.01,4.9,1,44,2012
Jeff Allison,Fresno State,LB,71,228,4.82,31,12,115,7.2,4.45,0,,
Jeff Janis,Saginaw Valley State,WR,75,219,4.42,37.5,20,123,6.64,3.98,1,236,2014
Jehu Chesson,Michigan,WR,75,204,4.47,35.5,10,132,6.7,4.09,1,139,2017
Jerald Hawkins,LSU,OT,78,305,5.23,23.5,23,100,8.19,4.89,1,123,2016
Jeremiah Ledbetter,Arkansas,DT,75,280,4.84,32.5,29,113,7.55,4.56,1,205,2017
Jeremiah Littles,South Alabama,DL,73,278,5.15,26,17,98,7.9,4.87,0,,
Jeremiah Poutasi,Utah,OG,77,335,5.32,26.5,26,95,8.09,4.89,1,66,2015
Jeremy Jones,Wayne State (MI),CB,69,197,4.56,31.5,20,116,7.14,4.18,0,,
Jerick McKinnon,Georgia Southern,RB,69,209,4.41,40.5,32,132,6.83,4.12,1,96,2014
Jermaine Kearse,Washington,WR,73,209,4.5,34,14,119,7.03,4.12,0,,
Jermaine Whitehead,Auburn,S,71,197,4.59,37,15,128,6.95,4.11,0,,
Jermar Jefferson,Oregon St.,RB,70,206,4.57,31,13,115,7.38,4.38,1,257,2021
Jerome Johnson,Indiana,DL,74,296,5.12,27.5,21,113,7.7,4.66,0,,
Jerome Lane,Akron,WR,74,226,4.6,35,16,125,6.87,4.12,0,,
Jerome Smith,Syracuse,RB,71,220,4.84,36,14,118,7.53,4.6,0,,
Jerrell Jackson,Missouri,WR,73,196,4.5,41,22,127,6.82,4.11,0,,
Jerron McMillian,Maine,S,71,203,4.47,36.5,17,120,6.69,4.22,1,133,2012
Jerry Jacobs,Arkansas,CB,70,208,4.53,34.5,20,120,6.95,4.33,0,,
Jerry Tillery,Notre Dame,DL,78,295,4.93,32,23,115,7.45,4.33,1,28,2019
Jerry Ugokwe,William & Mary,OT,79,321,5.61,26,18,103,8.35,5.17,0,,
Jesse James,Penn State,TE,79,261,4.83,37.5,26,121,7.53,4.5,1,160,2015
Jester Weah,Pittsburgh,WR,74,211,4.43,38,15,129,7.24,4.41,0,,
Jihad Ward,Illinois,DT,77,297,5.11,25,20,111,7.38,4.63,1,44,2016
Jimmy Morrissey,Pittsburgh,OL,75,303,5.31,31,26,105,7.39,4.47,1,230,2021
Jmon Moore,Missouri,WR,75,207,4.6,38,21,120,6.56,4.04,0,,
Joe Bachie,Michigan State,LB,73,230,4.67,33.5,26,119,6.93,4.34,0,,
Joe Dahl,Washington State,OT,76,304,5.18,31,28,109,7.64,4.77,1,151,2016
Joe Kruger,Utah,DE,78,269,4.83,34,24,117,7.17,4.46,1,212,2013
Joe Madsen,West Virginia,C,75,310,5.2,25,25,98,7.6,4.83,0,,
Joe Schobert,Wisconsin,OLB,73,244,4.76,33.5,22,111,7.11,4.3,1,99,2016
Joe Thuney,North Carolina State,OT,77,304,4.95,28.5,28,110,7.47,4.54,1,78,2016
Joe Tryon,Washington,OLB,77,259,4.69,35,22,116,7.18,4.36,1,32,2021
Joe Williams,Utah,RB,71,210,4.41,35,14,125,7.19,4.19,1,121,2017
Joel Bitonio,Nevada,OG,76,302,4.92,32,22,114,7.37,4.44,1,35,2014
Joel Heath,Michigan State,DT,77,293,5.02,33,26,113,7.44,4.52,0,,
Joel Iyiegbuniwe,Western Kentucky,LB,73,229,4.6,35,19,117,7.06,4.28,1,115,2018
Joey Bosa,Ohio State,DE,77,269,4.86,32,24,120,6.89,4.21,1,3,2016
Joey Iosefa,Hawaii,FB,73,247,5.02,31.5,30,110,7.24,4.33,1,231,2015
John Bates,Boise St.,TE,77,250,4.84,31.5,19,120,6.85,4.35,0,,
John Cominsky,Charleston,DL,77,286,4.69,33.5,22,116,7.03,4.38,1,135,2019
John Crockett,North Dakota State,RB,73,217,4.62,40,15,125,7.15,4.25,0,,
John Cullen,Utah,OT,76,297,5.28,27,23,102,7.58,4.59,0,,
John Franklin-Myers,Stephen F. Austin,DE,76,283,4.75,33,26,113,7.36,4.48,1,135,2018
John Johnson,Troy,S,73,205,4.61,37,14,119,6.72,4.18,1,91,2017
John Lotulelei,UNLV,OLB,71,233,4.84,35.5,25,117,6.91,4.3,0,,
John Miller,Louisville,OG,74,303,5.33,27,29,104,8.2,4.75,1,81,2015
John Molchon,Boise State,OL,77,309,5.13,34,26,109,7.85,4.73,0,,
John Raine,Northwestern,TE,73,231,5.05,31,15,107,7.32,4.54,0,,
John Reid,Penn State,CB,70,187,4.49,36.5,20,129,6.95,3.97,1,141,2020
John Simpson,Clemson,OL,76,321,5.24,30,34,107,8.03,4.87,1,109,2020
John Urschel,Penn State,OG,75,313,5.31,29,30,102,7.55,4.47,1,175,2014
John Wetzel,Boston Col.,OT,79,315,5.46,25,22,105,7.9,4.81,0,,
Johnathan Franklin,UCLA,RB,70,205,4.49,31.5,18,115,6.89,4.31,1,125,2013
Johnny Thomas,Oklahoma State,S,70,206,4.57,35.5,20,123,7.01,4.25,0,,
Johnthan Banks,Mississippi State,CB,74,185,4.61,34,10,125,6.97,4.27,1,43,2013
Jon Bostic,Florida,OLB,73,245,4.59,32.5,22,118,6.99,4.24,1,50,2013
Jon Dietzen,Wisconsin,OL,76,312,5.32,27,19,106,7.64,4.85,0,,
Jon Rhattigan,Army,LB,73,236,4.77,32,22,111,7.41,4.3,0,,
Jon Runyan,Michigan,OL,76,306,5.08,30.5,24,107,7.57,4.69,1,192,2020
Jon Toth,Kentucky,C,77,307,5.51,25.5,21,100,8.09,4.84,0,,
Jonah Jackson,Ohio State,OL,75,306,5.23,26,28,98,7.83,5.02,1,75,2020
Jonah Williams,Alabama,OT,76,302,5.12,28,23,100,8.01,4.79,1,11,2019
Jonathan Allen,Alabama,DT,75,286,5,30,21,108,7.49,4.5,1,17,2017
Jonathan Brown,Illinois,OLB,73,238,5.03,31,16,108,7.77,4.56,0,,
Jonathan Bullard,Florida,DE,75,285,4.93,32,23,116,7.31,4.56,1,72,2016
Jonathan Cooper,North Carolina,OG,74,311,5.07,27,35,108,7.78,4.84,1,7,2013
Jonathan Dowling,Western Kentucky,S,75,190,4.52,33.5,8,118,7.04,4.24,1,247,2014
Jonathan Greenard,Florida,DL,75,263,4.87,30.5,22,113,7.13,4.34,1,90,2020
Jonathan Jones,Auburn,CB,69,186,4.33,36,19,123,7.25,4.25,0,,
Jonathan Massaquoi,Troy,OLB,74,264,4.81,33.5,20,120,7.38,4.53,1,164,2012
Jonathan Newsome,Ball State,OLB,75,247,4.73,34,21,117,7.31,4.63,1,166,2014
Jonathan Stewart,Texas A&M,ILB,76,242,4.68,31,19,118,7.44,4.53,0,,
Jonathan Taylor,Wisconsin,RB,70,226,4.39,36,17,123,7.01,4.24,1,41,2020
Jonathon Cooper,Ohio St.,DE,74,253,4.69,33,28,108,6.99,4.31,1,239,2021
Jonotthan Harrison,Florida,C,75,304,5.15,27,27,113,7.97,4.86,0,,
Jordan Devey,Memphis,OT,79,317,5.25,24,21,98,7.91,4.77,0,,
Jordan Hicks,Texas,OLB,73,236,4.68,38,20,124,6.78,4.15,1,84,2015
Jordan Hill,Penn State,DT,73,303,5.23,22.5,28,103,7.49,4.51,1,87,2013
Jordan Jefferson,LSU,QB,76,223,4.58,36.5,14,116,6.81,4.06,0,,
Jordan Lomax,Iowa,S,70,202,4.75,36,8,120,7.18,4.15,0,,
Jordan Matthews,Vanderbilt,WR,75,212,4.46,35.5,21,120,6.95,4.18,1,42,2014
Jordan Meredith,Western Kentucky,OL,74,302,5.11,32,25,109,7.41,4.62,0,,
Jordan Mills,Louisiana Tech,OT,77,316,5.37,28.5,20,101,8.1,4.88,1,163,2013
Jordan Morgan,Kutztown Pennsylvania,OG,75,309,5.36,27,21,102,8.13,4.73,1,147,2017
Jordan Najvar,Baylor,TE,78,256,4.93,32.5,18,112,7.14,4.47,0,,
Jordan Phillips,Oklahoma,DT,77,329,5.17,30,28,105,7.88,4.68,1,52,2015
Jordan Poyer,Oregon State,CB,73,191,4.54,30.5,8,118,6.87,4.18,1,218,2013
Jordan Richards,Stanford,S,71,211,4.65,32,13,111,6.74,4.22,1,64,2015
Jordan Scarlett,Florida,RB,71,208,4.47,30,21,116,7.37,4.63,1,154,2019
Jordan Thomas,Mississippi State,TE,77,265,4.74,27,16,111,7.5,4.75,1,211,2018
Jordan Thomas,Oklahoma,CB,73,186,4.64,38,4,124,6.28,3.94,0,,
Jordan Tripp,Montana,OLB,75,234,4.67,37.5,22,120,6.89,3.96,1,171,2014
Jordan White,West. Michigan,WR,73,208,4.63,35,14,119,6.84,4.13,1,244,2012
Jordan Willis,Kansas State,DE,76,255,4.53,39,24,125,6.85,4.28,1,73,2017
Jordyn Peters,Auburn,CB,73,202,4.7,39.5,7,124,7.14,4.47,0,,
Joseph Noteboom,TCU,OT,77,309,4.96,24,27,102,7.65,4.44,1,89,2018
Josey Jewell,Iowa,ILB,73,234,4.82,33,18,117,6.8,4.27,1,106,2018
Josh Ball,Marshall,OL,79,308,5.2,27.5,28,106,7.77,4.7,1,138,2021
Josh Blancato,Georgia Tech,WR,69,182,4.55,32,17,124,6.9,4.31,0,,
Josh Boyce,TCU,WR,71,206,4.38,34,22,131,6.68,4.1,1,102,2013
Josh Boyd,Mississippi State,DT,75,310,5.14,26.5,32,104,7.16,4.64,1,167,2013
Josh Carraway,TCU,DE,75,242,4.74,29.5,25,120,7.2,4.44,1,227,2017
Josh Doctson,TCU,WR,74,202,4.5,41,14,131,6.84,4.08,1,22,2016
Josh Harper,Fresno State,WR,73,191,4.64,32,13,108,7.15,4.36,0,,
Josh Imatorbhebhe,Illinois,WR,73,218,4.53,46.5,24,134,7.1,4.38,0,,
Josh Jackson,Iowa,CB,73,192,4.56,38,18,123,6.86,4.03,1,45,2018
Josh Johnson,Purdue,CB,69,199,4.65,35,16,114,6.99,4.25,0,,
Josh Johnson,La-Monroe,RB,68,209,4.61,35.5,22,115,7.16,4.4,0,,
Josh LeRibeus,SMU,OG,75,312,5.31,26,29,96,7.64,4.65,1,71,2012
Josh Malone,Tennessee,WR,75,208,4.4,30.5,10,121,7.05,4.19,1,128,2017
Josh Mauro,Stanford,DE,78,271,5.21,32,21,116,7.43,4.51,0,,
Josh Metellus,Michigan,S,71,209,4.55,36.5,20,124,6.94,4.4,1,205,2020
Josh Norman,Coastal Carolina,CB,73,197,4.61,33,14,124,7.09,4.23,1,143,2012
Josh Oliver,San Jose State,TE,77,249,4.63,34,22,117,7.21,4.47,1,69,2019
Josh Pederson,La-Monroe,TE,76,234,4.81,28.5,19,110,7.31,4.43,0,,
Josh Robinson,Central Florida,CB,70,199,4.29,38.5,17,133,6.55,3.97,1,66,2012
Josh Shaw,USC,CB,73,201,4.44,37.5,26,130,7.01,4.12,1,120,2015
Josh Stewart,Oklahoma State,WR,70,178,4.69,35,11,117,7.1,4.33,0,,
Joshua Garnett,Stanford,OG,76,312,5.32,29,30,99,7.62,4.64,1,28,2016
Joshua Kelley,UCLA,RB,71,212,4.49,31,23,121,6.95,4.28,1,112,2020
Josiah Bronson,Washington,DL,74,304,5.08,30,27,101,7.63,4.72,0,,
Josiah Coatney,Mississippi,DL,75,308,5.21,27,22,99,8.07,4.82,0,,
Josiah Deguara,Cincinnati,TE,74,242,4.72,35.5,25,115,7.15,4.35,1,94,2020
Jovan Swann,Indiana,DL,74,291,4.9,30.5,34,109,7.74,4.75,0,,
JR Pace,Northwestern,CB,73,205,4.72,35.5,12,120,6.94,4.24,0,,
Julian Love,Notre Dame,CB,71,195,4.54,36,14,121,6.72,4.1,1,108,2019
Julien Davenport,Bucknell,OT,79,318,5.45,27,18,106,7.57,4.69,0,,
